Id,SalePrice
1461,119157.1359426147
1462,120851.67044539635
1463,168218.02344465838
1464,195638.1885696874
1465,181909.367798362
1466,176623.7217266007
1467,197373.49941004915
1468,172675.46155989263
1469,198148.4373951269
1470,118558.88982168218
1471,196833.80104106443
1472,109976.05460172091
1473,100460.71316603123
1474,156892.28562160037
1475,123095.89724177355
1476,318484.3528700266
1477,237141.25862063008
1478,278340.2539003942
1479,261342.23736405725
1480,420204.1975338888
1481,296528.6662696028
1482,200837.59814840098
1483,167684.52796280917
1484,163146.33403655776
1485,206221.58751645163
1486,205762.82431279347
1487,312027.9803789736
1488,250903.98540062967
1489,174727.30557447684
1490,218135.08351176596
1491,195873.86908413886
1492,96763.08349817271
1493,226547.51667202442
1494,290700.7249510313
1495,286634.0661132595
1496,209214.89570560007
1497,163752.5894972575
1498,153138.32956979712
1499,165514.29274612197
1500,152615.87501616566
1501,156793.728489198
1502,150264.8228465634
1503,289383.77371964336
1504,247224.26159210195
1505,220811.94374728616
1506,186511.38619411716
1507,237923.46577019454
1508,186613.8559875293
1509,157927.79930291808
1510,136886.45255274524
1511,138885.35476792065
1512,168421.9785160206
1513,143553.34972563846
1514,144223.863165002
1515,190893.20444842413
1516,147694.40251581068
1517,157354.34294451808
1518,127302.78263615834
1519,214415.83587155293
1520,119207.4094374159
1521,112174.68967671852
1522,187012.9992438356
1523,96403.72754954986
1524,113861.55675644113
1525,109931.190609903
1526,97968.63421289249
1527,104614.24222274653
1528,153898.86676514754
1529,131846.1201470674
1530,221070.76541565973
1531,113597.22402168412
1532,107005.88358903935
1533,150695.6961044117
1534,128144.79251871676
1535,143778.91502593923
1536,107515.65850235337
1537,74407.79194203774
1538,168862.5052742502
1539,193703.66253261338
1540,84615.63554284668
1541,139644.66054754824
1542,131167.3985867246
1543,175238.41509637746
1544,97095.981574011
1545,126609.85195073044
1546,144059.8796520355
1547,136120.676468096
1548,134428.53185749665
1549,121009.47833092265
1550,126908.80166707736
1551,123712.11924769326
1552,133682.77221624556
1553,139598.75964589117
1554,127233.45436065164
1555,144257.4656465727
1556,93157.75268990766
1557,86039.5480562446
1558,102659.4170793285
1559,77522.72922959685
1560,120570.9539349649
1561,113712.83438236262
1562,133393.16905085195
1563,116735.56589576432
1564,153257.52764437126
1565,146396.34797885365
1566,242404.18768681004
1567,84377.84104779322
1568,204098.98883364393
1569,106422.51224542418
1570,149215.36826739568
1571,125357.5486041459
1572,139327.97221548192
1573,232532.74728941254
1574,118999.59808728803
1575,224939.64740452712
1576,257294.3909528164
1577,183871.15970878932
1578,135356.0842053045
1579,135163.94950967949
1580,202440.06088538433
1581,159810.2535698139
1582,132987.06350091082
1583,316870.78022872
1584,226608.19870458584
1585,141125.05940149308
1586,86081.40087320474
1587,109027.01851573927
1588,141657.86878946144
1589,104829.06024241865
1590,140879.44891803167
1591,85688.10796209947
1592,118569.1359546287
1593,141055.1363935695
1594,123536.12758281713
1595,97164.49838569724
1596,201028.1708161131
1597,155460.51541456376
1598,204374.20171494843
1599,187832.87929308251
1600,178488.24455069058
1601,67770.93550108968
1602,114940.02511700183
1603,91290.06709973095
1604,246842.3154785877
1605,270178.7539326427
1606,174334.97250881037
1607,173013.30145740393
1608,232766.84731190134
1609,182054.23264010233
1610,155095.67280300558
1611,148003.18265640514
1612,158757.01685822287
1613,172756.0059306784
1614,133314.3265136263
1615,92608.47821988077
1616,80631.15227682638
1617,98611.9117236337
1618,124862.91202777623
1619,152572.5677422588
1620,166062.6437728913
1621,137120.06368837686
1622,136480.3887381889
1623,286935.3536754895
1624,199909.36108894402
1625,115168.9908694357
1626,178756.53296765673
1627,186026.40777128196
1628,282478.74170398834
1629,190503.14955795975
1630,299780.3032823549
1631,202361.78623816307
1632,214432.86031487494
1633,189682.4791933993
1634,196780.28358431367
1635,188249.53231665574
1636,167725.45106408303
1637,189290.26246691763
1638,206803.7713448436
1639,189935.8195394068
1640,255555.31253778617
1641,181770.64430609404
1642,227468.5925558039
1643,223473.76406349076
1644,234662.6590470186
1645,241296.8676730045
1646,171609.34162363905
1647,169745.49282210539
1648,128894.92365145589
1649,137714.0394007898
1650,124900.80781983586
1651,127331.20043225429
1652,116881.00811477206
1653,121865.71047117385
